a_value1,a_value2,ged_value
XORANDLOOP1_1000,XORANDLOOP1_1000_T_hours_K_16_pretsacase_anonymized,0.5830019493177387
XORANDLOOP1_1000,XORANDLOOP1_1000_T_hours_K_4_pretsacase_anonymized,1.0
XORANDLOOP1_1000,XORANDLOOP1_1000_T_hours_K_64_pretsacase_anonymized,0.6019649122807018
XORANDLOOP1_1000,XORANDLOOP1_1000_L_2_C_0.5_K_10_K2_0.9_T_hours_bk_type_multiset_TLKC_anonymized,1.0
XORANDLOOP1_1000,XORANDLOOP1_1000_L_2_C_0.5_K_10_K2_0.9_T_hours_bk_type_relative_TLKC_anonymized,1.0
XORANDLOOP1_1000,XORANDLOOP1_1000_L_2_C_0.5_K_10_K2_0.9_T_hours_bk_type_sequence_TLKC_anonymized,1.0
XORANDLOOP1_1000,XORANDLOOP1_1000_L_2_C_0.5_K_10_K2_0.9_T_hours_bk_type_set_TLKC_anonymized,1.0
XORANDLOOP1_1000,XORANDLOOP1_1000_L_4_C_0.35_K_45_K2_0.9_T_hours_bk_type_multiset_TLKC_anonymized,1.0
XORANDLOOP1_1000,XORANDLOOP1_1000_L_4_C_0.35_K_45_K2_0.9_T_hours_bk_type_relative_TLKC_anonymized,0.9036796536796536
XORANDLOOP1_1000,XORANDLOOP1_1000_L_4_C_0.35_K_45_K2_0.9_T_hours_bk_type_sequence_TLKC_anonymized,0.9349005604324754
XORANDLOOP1_1000,XORANDLOOP1_1000_L_4_C_0.35_K_45_K2_0.9_T_hours_bk_type_set_TLKC_anonymized,1.0
XORANDLOOP1_1000,XORANDLOOP1_1000_L_6_C_0.2_K_80_K2_0.9_T_hours_bk_type_multiset_TLKC_anonymized,0.9019457863660763
XORANDLOOP1_1000,XORANDLOOP1_1000_L_6_C_0.2_K_80_K2_0.9_T_hours_bk_type_relative_TLKC_anonymized,0.904280303030303
XORANDLOOP1_1000,XORANDLOOP1_1000_L_6_C_0.2_K_80_K2_0.9_T_hours_bk_type_sequence_TLKC_anonymized,0.9379308634627783
XORANDLOOP1_1000,XORANDLOOP1_1000_L_6_C_0.2_K_80_K2_0.9_T_hours_bk_type_set_TLKC_anonymized,1.0
